#SPE version: 3.0
#Frame width: 600
#Frame height: 1
#Number of frames: 1
#Laser Wavelength (nm): 532
#Central Wavelength (nm): 532
#Date collected: 2017-02-21
#Time collected (hhmmss): 17:05:33
Wavelength	Frame 1	
527.62119616650307	22042.6
527.63273146212009	23103.7
527.64426653770818	26022.0
527.65580139324334	27859.7
527.667336028702	30836.3
527.67887044406052	31807.3
527.690404639295	31289.5
527.70193861438179	28445.4
527.713472369297	27196.5
527.72500590401717	25005.9
527.73653921851849	24158.6
527.74807231277714	25278.7
527.75960518676948	27118.8
527.77113784047174	30053.0
527.78267027386028	29549.8
527.79420248691144	28221.2
527.80573447960126	26836.3
527.81726625190618	25376.7
527.82879780380256	22853.2
527.84032913526664	22022.6
527.85186024627467	22538.5
527.86339113680287	23538.0
527.87492180682762	23948.8
527.88645225632524	26179.1
527.897982485272	26163.2
527.90951249364412	26495.7
527.92104228141818	24961.0
527.93257184857009	22620.5
527.94410119507643	22340.8
527.95563032091331	21046.5
527.96715922605722	20577.3
527.97868791048427	20015.9
527.99021637417093	19799.3
528.00174461709344	20299.2
528.01327263922815	20673.6
528.0248004405513	21673.2
528.03632802103925	21534.6
528.04785538066824	22309.8
528.05938251941473	24376.1
528.07090943725484	27503.7
528.082436134165	32783.8
528.09396261012159	37985.8
528.10548886510094	42175.7
528.11701489907921	43084.2
528.12854071203276	40461.3
528.140066303938	36691.1
528.15159167477123	32352.4
528.16311682450873	27082.7
528.17464175312693	23420.9
528.186166460602	21326.4
528.19769094691026	21239.7
528.20921521202831	20751.5
528.22073925593224	20217.7
528.23226307859841	20345.1
528.24378668000315	20228.6
528.255310060123	20273.0
528.266833218934	19766.8
528.27835615641277	19976.8
528.28987887253538	20747.0
528.30140136727834	22860.6
528.3129236406179	23607.1
528.3244456925305	25915.8
528.33596752299252	27338.1
528.34748913198007	27089.7
528.35901051946973	27348.4
528.37053168543775	27197.0
528.38205262986048	26293.3
528.3935733527145	26732.6
528.4050938539757	28759.8
528.4166141336209	30857.5
528.4281341916261	32252.2
528.43965402796789	31214.1
528.45117364262251	27950.8
528.46269303556642	25744.5
528.47421220677575	23171.4
528.48573115622719	22224.0
528.49724988389687	21351.8
528.50876838976137	22180.9
528.5202866737967	23287.2
528.53180473597956	25112.2
528.5433225762863	27826.4
528.554840194693	29890.6
528.56635759117626	31889.8
528.57787476571252	33456.0
528.58939171827808	31747.7
528.60090844884917	27906.2
528.61242495740237	23845.1
528.62394124391392	22337.6
528.63545730836029	21375.5
528.64697315071771	21053.4
528.65848877096278	20320.2
528.67000416907183	20539.7
528.68151934502112	21370.3
528.6930342987871	22157.2
528.70454903034624	23997.7
528.71606353967491	25927.8
528.72757782674933	28465.9
528.739091891546	30766.7
528.75060573404141	30847.8
528.76211935421179	32879.4
528.77363275203379	32636.7
528.78514592748343	30322.3
528.79665888053739	27961.1
528.80817161117193	26388.7
528.81968411936361	24067.8
528.83119640508869	22218.0
528.84270846832362	22400.1
528.85422030904476	20835.9
528.86573192722858	19720.1
528.87724332285154	19849.2
528.88875449588988	20700.8
528.90026544632019	19896.5
528.9117761741187	19460.7
528.92328667926188	19649.8
528.93479696172631	20231.2
528.94630702148822	20989.6
528.9578168585241	20685.2
528.96932647281039	22536.3
528.98083586432335	25192.3
528.99234503303967	27132.4
529.00385397893547	28634.3
529.01536270198744	30348.8
529.026871202172	32028.2
529.03837947946522	33306.9
529.049887533844	33629.8
529.0613953652844	32383.9
529.072902973763	32076.9
529.08441035925625	30201.8
529.0959175217406	27554.2
529.10742446119252	24721.8
529.11893117758825	22713.0
529.13043767090437	22287.6
529.14194394111735	20696.9
529.15344998820353	20964.4
529.1649558121394	20737.1
529.1764614129014	19929.3
529.187966790466	19968.5
529.19947194480949	20936.2
529.21097687590861	21829.0
529.22248158373952	23352.8
529.23398606827891	23330.6
529.245490329503	22803.7
529.25699436738842	22666.7
529.26849818191158	22135.6
529.28000177304875	21635.8
529.29150514077674	21093.1
529.30300828507166	20764.0
529.31451120591021	21047.0
529.32601390326874	20723.0
529.33751637712373	21232.5
529.34901862745164	21297.8
529.36052065422894	22091.3
529.37202245743208	22502.3
529.38352403703755	23319.4
529.3950253930218	23442.0
529.40652652536119	23860.2
529.41802743403241	23940.8
529.42952811901182	24373.1
529.44102858027588	24613.3
529.45252881780118	25442.6
529.46402883156406	25800.9
529.47552862154089	24910.0
529.48702818770846	24532.2
529.49852753004291	23182.1
529.510026648521	21528.5
529.5215255431192	20456.0
529.53302421381375	19448.4
529.54452266058138	19378.9
529.55602088339845	20000.1
529.56751888224142	19872.7
529.57901665708687	18964.7
529.59051420791127	19586.4
529.60201153469109	19089.8
529.6135086374029	20229.0
529.62500551602307	19032.6
529.63650217052816	19905.9
